model,dataset,sample_id,reducer,question,right_answer,generated_answer,latency_s,token_score,token_pred,semantic_score,semantic_pred,llm_score,llm_pred,bert_score,bert_pred
llama3:latest,synthetic,synthetic_0003,baseline,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key part of his work on the theory of light quanta (now called photons).",1.38,0.5604877016012588,False,0.10301840305328369,False,0.0,False,0.31055592298507695,True
llama3:latest,synthetic,synthetic_0003,rag,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"According to the reference passage, Albert Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect, not for relativity.",1.292,0.28171330905696385,False,0.09285527467727661,False,0.05,False,0.21470754146575932,False
llama3:latest,synthetic,synthetic_0003,constrained_decoding,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"Einstein received the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect, which was a key contribution to the development of quantum theory.",1.208,0.4529049860327679,False,0.07824373245239258,False,0.05,False,0.24622930288314815,False
llama3:latest,synthetic,synthetic_0003,self_verification,For what did Einstein receive the Nobel Prize?,Einstein received the Nobel Prize in Physics in 1921 for his discovery of the law of the photoelectric effect.,"INCORRECT

Einstein did not receive the Nobel Prize in Physics in 1921 for his explanation of the photoelectric effect. He actually received the prize in 1921 ""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect"", but it was not specifically for his explanation of the photoelectric effect.

Corrected answer: Einstein received the Nobel Prize in Physics in 1921 for his services to theoretical physics and his discovery of the law of the photoelectric effect.",4.654,0.636492129435113,True,0.11450040340423584,False,0.95,True,0.4040146470069885,True
llama3:latest,synthetic,synthetic_0001,baseline,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-206 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes.",1.636,0.7139245400777701,True,0.059594929218292236,False,0.0,False,0.5928192555904388,True
llama3:latest,synthetic,synthetic_0001,rag,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","According to the reference passage, Qin Shi Huang (221-206 BC), the first emperor of China, was responsible for joining together selective stretches of earlier walls and building a unified Great Wall. Therefore, he is considered to have built the first unified Great Wall of China.",1.82,0.7158973805384209,True,0.051222264766693115,False,0.0,False,0.6359188735485077,True
llama3:latest,synthetic,synthetic_0001,constrained_decoding,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-210 BCE), is credited with building the first unified Great Wall of China. He ordered the construction of a long wall to protect his empire from invasions by nomadic tribes and to keep out rival states. The wall was built using local materials such as rammed earth, stones, and wood, and it stretched for over 3,000 miles (4,800 km).",2.631,0.8286765301884872,True,0.09206795692443848,False,0.0,False,0.7497989416122437,True
llama3:latest,synthetic,synthetic_0001,self_verification,Who built the first unified Great Wall of China?,"The first unified Great Wall was built by Qin Shi Huang, the first emperor of China.","The First Emperor of China, Qin Shi Huang (221-206 BCE), is credited with building the first unified Great Wall of China. He connected various existing walls and fortifications to create a long series of defensive structures that stretched over 3,000 miles (4,800 km) across northern China.",4.195,0.791703373694484,True,0.07288467884063721,False,0.0,False,0.6979041159152984,True
llama3:latest,synthetic,synthetic_0002,baseline,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is Chlorophyll a.,0.632,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.46839387416839595,True
llama3:latest,synthetic,synthetic_0002,rag,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,"According to the reference passage, the main pigment involved in photosynthesis is chlorophyll.",0.886,0.7797618965131847,True,0.13429558277130127,False,0.05,False,0.6356237828731537,True
llama3:latest,synthetic,synthetic_0002,constrained_decoding,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,The main pigment involved in photosynthesis is chlorophyll a.,0.616,0.6787878710568854,True,0.1249883770942688,False,0.05,False,0.46839387416839595,True
llama3:latest,synthetic,synthetic_0002,self_verification,What is the main pigment involved in photosynthesis?,Chlorophyll is the primary pigment that absorbs light in photosynthesis.,"The main pigment involved in photosynthesis is chlorophyll. Chlorophyll a, to be specific, absorbs light energy from the visible spectrum (400-700 nanometers) and uses it to power the conversion of carbon dioxide and water into glucose and oxygen.",3.742,0.8660384193981643,True,0.11091405153274536,False,0.05,False,0.7634516209363937,True
llama3:latest,synthetic,synthetic_0004,baseline,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"The estimated number of neurons in the human brain is around 86 billion. This estimate was based on a study published in 2012 that analyzed data from brain imaging techniques such as magnetic resonance imaging (MRI) and computerized tomography (CT) scans, as well as histological analysis of post-mortem brains.",2.023,0.8888879076998468,True,0.15781617164611816,False,0.0,False,0.6934375047683716,True
llama3:latest,synthetic,synthetic_0004,rag,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to the passage, the human brain contains approximately 86 billion neurons.",0.787,0.20708089766885904,False,0.06347256898880005,False,0.05,False,0.20378893613815308,False
llama3:latest,synthetic,synthetic_0004,constrained_decoding,How many neurons does the human brain contain?,The human brain contains approximately 86 billion neurons.,"According to various estimates, the human brain contains approximately 86 billion neurons. This number is based on studies using techniques such as magnetic resonance imaging (MRI), positron emission tomography (PET) scans, and histological analysis of brain tissue. However, it's worth noting that this exact number may vary slightly depending on the source and methodology used.",2.197,0.8021025113493959,True,0.10644179582595825,False,0.05,False,0.777376389503479,True
